               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09776,            0.030022,                   0,             0.21752,             0.49153,             0.28304,            0.080037,            0.037208,            0.016056,                   0,             0.07075,             0.00325,             0.00325
                   1,            0.065156,            0.023253,                   0,              0.4282,             0.57627,             0.47488,             0.13509,            0.040875,            0.010656,                   0,             0.04062,            0.006453,            0.006453
                   2,            0.056126,            0.019194,                   0,             0.37274,             0.89831,             0.52402,             0.18728,             0.02938,           0.0059874,                   0,            0.010357,            0.009524,            0.009524
                   3,            0.053176,            0.016496,                   0,             0.94875,              0.9414,             0.98313,             0.50034,            0.025713,           0.0039995,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.044359,            0.014296,                   0,             0.70573,             0.97559,              0.9071,             0.40088,             0.02951,           0.0037005,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.039753,            0.012465,                   0,             0.83052,             0.89831,             0.92949,             0.54731,            0.024736,           0.0035536,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.036599,            0.010853,                   0,             0.99041,              0.9661,             0.99324,              0.6389,            0.021778,           0.0031826,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.033894,            0.010272,                   0,             0.99722,             0.98305,              0.9873,              0.7319,            0.015574,           0.0026684,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.031855,           0.0099403,                   0,             0.99716,             0.98305,              0.9917,             0.72997,            0.013191,           0.0029185,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.032153,            0.009598,                   0,             0.99603,             0.98305,             0.98826,              0.6775,            0.016018,           0.0027695,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.029852,           0.0087846,                   0,             0.99755,             0.98305,             0.98573,             0.70476,            0.015192,           0.0027936,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.026646,           0.0087123,                   0,             0.99644,             0.98305,             0.99467,             0.83677,           0.0094692,           0.0024737,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.027285,           0.0083249,                   0,             0.99868,             0.98305,             0.98774,             0.84118,            0.010766,           0.0027291,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.026598,           0.0083819,                   0,             0.99716,             0.98305,             0.99408,             0.75775,            0.015962,           0.0024513,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.025649,           0.0079249,                   0,              0.9985,             0.98305,             0.99452,             0.73221,            0.012158,           0.0024052,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.024998,           0.0081513,                   0,             0.99672,             0.98305,             0.99308,             0.81803,             0.01136,           0.0026945,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.023011,           0.0074134,                   0,             0.98211,             0.98305,             0.99108,             0.87868,            0.010384,           0.0023507,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.023625,           0.0079629,                   0,             0.99854,             0.98305,             0.98659,             0.86647,           0.0084527,           0.0022732,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.023209,           0.0075665,                   0,              0.9981,             0.98305,             0.99297,             0.85896,           0.0084508,           0.0023283,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.022926,           0.0073029,                   0,             0.98039,              0.9322,              0.9786,             0.82161,            0.010174,           0.0030172,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.02108,           0.0075161,                   0,             0.98111,             0.98305,             0.99418,             0.86584,           0.0085754,           0.0021361,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.021023,           0.0068175,                   0,             0.99287,             0.98305,             0.99467,             0.83884,           0.0099111,           0.0022711,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.021962,           0.0072054,                   0,             0.98277,             0.98305,             0.99408,             0.85699,            0.010682,           0.0021683,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.020629,           0.0071566,                   0,             0.99904,             0.98305,             0.99211,             0.91277,           0.0071244,           0.0021336,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.02038,           0.0065945,                   0,             0.98137,             0.98305,             0.99233,             0.87928,           0.0076565,           0.0022902,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.019154,           0.0067192,                   0,              0.9827,             0.98305,             0.99452,             0.91361,           0.0083291,            0.002069,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.019389,           0.0065919,                   0,             0.98184,             0.98305,             0.99168,             0.92232,            0.006628,           0.0019649,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.018157,           0.0063763,                   0,             0.98265,             0.98305,             0.99452,             0.92921,            0.006247,           0.0018991,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.017614,           0.0063775,                   0,             0.98159,             0.98305,             0.99223,             0.87638,           0.0066171,            0.002021,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.018134,           0.0065177,                   0,             0.98136,             0.98305,             0.98767,             0.90776,           0.0063199,           0.0020078,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.016757,           0.0063031,                   0,              0.9805,             0.98305,             0.98565,             0.91238,           0.0057031,           0.0019143,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.016566,           0.0056327,                   0,             0.98119,             0.98305,             0.98916,             0.91769,           0.0068837,           0.0018469,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.015819,           0.0060585,                   0,             0.99485,             0.98305,             0.99408,             0.91638,           0.0061994,           0.0019419,                   0,            0.003862,            0.003862,            0.003862
                  33,             0.01669,           0.0058975,                   0,             0.98278,             0.98305,             0.98774,             0.91597,            0.006466,            0.002035,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.015057,           0.0059199,                   0,             0.98169,             0.98305,             0.99274,             0.95703,           0.0055987,            0.002002,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.015101,            0.005629,                   0,             0.97876,             0.98305,             0.98942,             0.94386,           0.0052694,           0.0017161,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.014228,           0.0055545,                   0,             0.98133,             0.98305,             0.98825,             0.94052,           0.0050804,           0.0017601,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.014459,           0.0053036,                   0,             0.98216,             0.98305,             0.99237,             0.91399,           0.0061004,           0.0018336,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.014285,           0.0053619,                   0,             0.98138,             0.98305,             0.98598,             0.94469,            0.005176,            0.001794,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.013989,           0.0053175,                   0,             0.98181,             0.98305,             0.99269,             0.96248,           0.0047795,           0.0017457,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.013607,           0.0055904,                   0,              0.9968,             0.98305,             0.99467,             0.96761,           0.0049706,           0.0016612,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.013601,            0.005191,                   0,                   1,             0.98088,             0.99437,             0.96061,           0.0047573,           0.0016395,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.012606,           0.0051001,                   0,             0.99329,             0.98305,             0.99368,             0.96533,           0.0044247,           0.0015444,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.012507,           0.0052782,                   0,             0.98187,             0.98305,             0.99384,             0.96449,           0.0043406,            0.001707,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.011401,           0.0049723,                   0,             0.98181,             0.98305,             0.99418,             0.97693,           0.0039631,           0.0015852,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.012104,           0.0048487,                   0,             0.98331,             0.99885,               0.994,             0.98031,           0.0039572,           0.0016013,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.012276,           0.0048941,                   0,             0.98207,             0.98305,              0.9934,             0.97919,           0.0038863,           0.0015993,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.01115,           0.0047321,                   0,              0.9818,             0.98305,              0.9864,             0.98003,           0.0038359,           0.0015099,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.011301,           0.0046343,                   0,                   1,             0.97878,             0.98671,             0.97263,           0.0039271,           0.0014672,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.010973,           0.0047518,                   0,              0.9977,             0.98305,             0.98673,             0.97091,           0.0039596,           0.0014435,                   0,            0.000496,            0.000496,            0.000496
